Energy_Unit,Energy_density_Joule,Volume_m3,Event_freq_unit_per_day,Energy_Joule_per_day,Volume_m3_per_day,Duration_days,Intensity_Level,Intensity_Level_encoded,Energy_per_Volume
41.0,5.968,4.694,3.727,4.926,3.653,11,Intense,3,8.734554750745632
14.0,5.841,4.622,1.556,4.887,3.668,9,Moderate,2,3.0289917784508873
17.0,4.754,4.397,1.889,3.8,3.443,9,Moderate,2,3.8662724584944277
18.0,5.295,4.703,1.8,4.295,3.703,10,Moderate,2,3.8273442483521154
10.0,5.322,4.238,1.429,4.477,3.393,7,Moderate,2,2.3596035865974514
14.0,4.818,4.266,1.273,3.776,3.225,11,Moderate,2,3.2817627754336613
17.0,4.944,4.598,1.545,3.902,3.556,11,Moderate,2,3.6972596781209224
18.0,5.602,4.779,1.8,4.602,3.779,10,Moderate,2,3.7664783427495294
19.0,5.865,4.263,1.9,4.865,3.263,10,Moderate,2,4.456955195871452
20.0,5.589,4.589,1.818,4.548,3.547,11,Moderate,2,4.358247984310307
11.0,5.926,4.141,1.222,4.972,3.186,9,Moderate,2,2.6563631972953394
8.0,5.621,4.62,2.0,5.019,4.018,4,Moderate,2,1.7316017316017316
12.0,4.912,4.565,1.5,4.009,3.662,8,Moderate,2,2.628696604600219
7.0,4.834,4.116,0.538,3.721,3.002,13,Slight,1,1.7006802721088436
10.0,4.614,4.611,1.111,3.66,3.657,9,Slight,1,2.1687269572760792
4.0,4.53,4.557,0.667,3.752,3.779,6,Slight,1,0.8777704630239191
3.0,4.61,3.732,1.0,4.133,3.255,3,Slight,1,0.8038585209003215
10.0,4.446,4.37,1.667,3.668,3.592,6,Slight,1,2.2883295194508007
4.0,4.595,3.708,1.0,3.993,3.106,4,Slight,1,1.0787486515641855
7.0,4.381,4.132,1.75,3.779,3.529,4,Slight,1,1.6940948693126816
13.0,4.408,4.428,2.167,3.629,3.65,6,Slight,1,2.935862691960253
3.0,4.443,4.291,0.6,3.744,3.592,5,Slight,1,0.6991377301328361
2.5,2.79,3.441,0.47750000000000004,2.3695,2.964,3,Stable,0,0.7265329845975007
3.0,4.448,4.261,0.47750000000000004,3.493,3.306,9,Stable,0,0.7040600797934757
3.0,3.668,3.609,0.5,2.89,2.831,6,Stable,0,0.8312551953449709
7.0,4.3,3.375,0.778,3.345,2.6635,9,Stable,0,2.074074074074074
2.5,2.97,4.164,0.47750000000000004,2.493,3.687,3,Stable,0,0.6003842459173871
5.0,3.996,3.375,1.0,3.297,2.6635,5,Stable,0,1.4814814814814814
2.5,2.79,4.146,0.5,2.3695,3.544,4,Stable,0,0.602990834539315
2.5,2.79,3.375,0.47750000000000004,2.3695,2.6635,6,Stable,0,0.7407407407407407
2.5,2.79,3.375,1.0,2.3695,2.759,3,Stable,0,0.7407407407407407
4.0,4.737,4.173,0.8,4.038,3.474,5,Stable,0,0.9585430146177809
2.5,2.79,4.033,0.47750000000000004,2.3695,3.556,3,Stable,0,0.6198859409868583
2.5,2.79,3.857,0.47750000000000004,2.3695,3.079,6,Stable,0,0.6481721545242416
2.5,2.79,3.375,1.0,2.3695,2.6635,3,Stable,0,0.7407407407407407
5.0,2.79,3.878,0.47750000000000004,2.3695,2.836,11,Stable,0,1.2893243940175347
4.0,2.79,3.375,0.47750000000000004,2.3695,2.6635,9,Stable,0,1.1851851851851851
2.5,2.79,3.441,0.47750000000000004,2.3695,2.839,4,Stable,0,0.7265329845975007
3.0,4.211,3.794,0.75,3.609,3.192,4,Stable,0,0.790722192936215
2.5,2.79,3.375,1.0,2.3695,2.949,3,Stable,0,0.7407407407407407
45.99999999999996,6.3914,4.995,4.719999999999985,5.535199999999999,4.186,4,Intense,3,9.2092092092092
45.99999999999996,6.3914,4.975,3.625,5.535199999999999,3.771,16,Intense,3,9.246231155778887
45.99999999999996,6.373,5.0294,4.719999999999985,5.47,4.186,8,Intense,3,9.146220225076542
22.0,5.859,4.895,2.2,4.859,3.895,10,Intense,3,4.49438202247191
10.0,6.3914,5.0294,1.25,5.535199999999999,4.178,8,Intense,3,1.9883087445818588
