Energy_Unit_log,Event_freq_unit_per_day_log,Duration_days_log,Energy_per_Volume_log,Energy_density_Joule,Volume_m3,Energy_Joule_per_day,Volume_m3_per_day,Intensity_Level_encoded,Intensity_Level
3.7376696182833684,1.5532907518110994,2.4849066497880004,2.2756819008234594,5.968,4.694,4.926,3.653,3,Intense
2.70805020110221,0.9384435365152884,2.302585092994046,1.393516165614149,5.841,4.622,4.887,3.668,2,Moderate
2.8903717578961645,1.0609104214840983,2.302585092994046,1.582328235086141,4.754,4.397,3.8,3.443,2,Moderate
2.9444389791664403,1.0296194171811581,2.3978952727983707,1.5742964713825773,5.295,4.703,4.295,3.703,2,Moderate
2.3978952727983707,0.8874796500200355,2.0794415416798357,1.211822986835574,5.322,4.238,4.477,3.393,2,Moderate
2.70805020110221,0.8211005448704062,2.4849066497880004,1.4543647882203283,4.818,4.266,3.776,3.225,2,Moderate
2.8903717578961645,0.9341306500024861,2.4849066497880004,1.5469792914695781,4.944,4.598,3.902,3.556,2,Moderate
2.9444389791664403,1.0296194171811581,2.3978952727983707,1.5616077393031853,5.602,4.779,4.602,3.779,2,Moderate
2.995732273553991,1.0647107369924282,2.3978952727983707,1.6968909777748336,5.865,4.263,4.865,3.263,2,Moderate
3.044522437723423,1.0360274134764884,2.4849066497880004,1.6786370530507027,5.589,4.589,4.548,3.547,2,Moderate
2.4849066497880004,0.7984076912174383,2.302585092994046,1.296468991462805,5.926,4.141,4.972,3.186,2,Moderate
2.1972245773362196,1.0986122886681098,1.6094379124341003,1.0048881520194195,5.621,4.62,5.019,4.018,2,Moderate
2.5649493574615367,0.9162907318741551,2.1972245773362196,1.2888735217049274,4.912,4.565,4.009,3.662,2,Moderate
2.0794415416798357,0.43048287108345223,2.6390573296152584,0.9935036939084542,4.834,4.116,3.721,3.002,1,Slight
2.3978952727983707,0.7471617688661836,2.302585092994046,1.153329916465379,4.614,4.611,3.66,3.657,1,Slight
1.6094379124341003,0.511025603768657,1.9459101490553132,0.6300851491541722,4.53,4.557,3.752,3.779,1,Slight
1.3862943611198906,0.6931471805599453,1.3862943611198906,0.5899279933434621,4.61,3.732,4.133,3.255,1,Slight
2.3978952727983707,0.9809542451998773,1.9459101490553132,1.1903796909834348,4.446,4.37,3.668,3.592,1,Slight
1.6094379124341003,0.6931471805599453,1.6094379124341003,0.7317661028485112,4.595,3.708,3.993,3.106,1,Slight
2.0794415416798357,1.0116009116784799,1.6094379124341003,0.9910622924062523,4.381,4.132,3.779,3.529,1,Slight
2.6390573296152584,1.1527847675565026,1.9459101490553132,1.3701300934088052,4.408,4.428,3.629,3.65,1,Slight
1.3862943611198906,0.4700036292457356,1.791759469228055,0.5301209048149056,4.443,4.291,3.744,3.592,1,Slight
1.252762968495368,0.3903514702981162,1.3862943611198906,0.5461153425582611,2.79,3.441,2.3695,2.964,0,Stable
1.3862943611198906,0.3903514702981162,2.302585092994046,0.5330136858803347,4.448,4.261,3.493,3.306,0,Stable
1.3862943611198906,0.4054651081081644,1.9459101490553132,0.6050016308276642,3.668,3.609,2.89,2.831,0,Stable
2.0794415416798357,0.5754891370917129,2.302585092994046,1.123003741792269,4.3,3.375,3.345,2.6635,0,Stable
1.252762968495368,0.3903514702981162,1.3862943611198906,0.4702437541118191,2.97,4.164,2.493,3.687,0,Stable
1.791759469228055,0.6931471805599453,1.791759469228055,0.9088557533866369,3.996,3.375,3.297,2.6635,0,Stable
1.252762968495368,0.4054651081081644,1.6094379124341003,0.47187115591881473,2.79,4.146,2.3695,3.544,0,Stable
1.252762968495368,0.3903514702981162,1.9459101490553132,0.5543107357057295,2.79,3.375,2.3695,2.6635,0,Stable
1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,2.79,3.375,2.3695,2.759,0,Stable
