,Energy_Unit_log,Event_freq_unit_per_day_log,Duration_days_log,Energy_per_Volume_log,Energy_density_Joule,Volume_m3,Energy_Joule_per_day,Volume_m3_per_day,Intensity_Level_encoded
0,3.044522437723423,0.8109302162163288,2.833213344056216,1.825237361623563,4.76,3.843,3.556,2.6635,1
1,1.252762968495368,0.3903514702981162,1.3862943611198906,0.4702437541118191,2.97,4.164,2.493,3.687,0
2,1.3862943611198906,0.4700036292457356,1.791759469228055,0.5301209048149056,4.443,4.291,3.744,3.592,1
3,1.9459101490553128,0.9162907318741552,1.6094379124341005,1.0216512475319812,5.3,3.375,4.698,2.6635,0
4,2.8903717578961645,1.0609104214840983,2.302585092994046,1.582328235086141,4.754,4.397,3.8,3.443,2
5,1.252762968495368,0.3903514702981162,1.9459101490553128,0.4996668887281809,2.79,3.857,2.3695,3.079,0
6,2.8903717578961645,0.7948008342864451,2.70805020110221,1.5061854585990613,4.619,4.844,3.473,3.698,0
7,1.252762968495368,0.3903514702981162,1.3862943611198906,0.5461153425582611,2.79,3.441,2.3695,2.964,0
8,3.8501476017100575,1.5314763709643886,2.833213344056216,2.326909945849962,6.3914,4.975,5.535199999999999,3.771,3
9,2.3978952727983707,0.8109302162163288,2.19722457733622,1.0947075901058958,6.3914,5.0294,5.535199999999999,4.178,3
10,1.9459101490553128,0.5596157879354227,2.19722457733622,0.9990705011795766,4.368,3.497,3.465,2.6635,1
11,1.3862943611198906,0.3903514702981162,2.079441541679836,0.5163981709924761,5.06,4.438,4.215,3.593,2
12,2.995732273553991,1.0647107369924282,2.3978952727983707,1.5957687547784674,3.68,4.832,2.68,3.832,2
13,2.5649493574615367,1.6094379124341005,1.3862943611198906,1.3458842124764554,3.543,4.223,3.066,3.746,1
14,2.4849066497880004,0.7984076912174383,2.302585092994046,1.296468991462805,5.926,4.141,4.972,3.186,2
15,2.70805020110221,0.8211005448704062,2.4849066497880004,1.4543647882203283,4.818,4.266,3.776,3.225,2
16,2.4849066497880004,0.6130211360806603,2.6390573296152584,1.2774908252973936,5.724,4.251,4.61,3.137,2
17,1.252762968495368,0.3903514702981162,1.3862943611198906,0.4823557399673821,2.79,4.033,2.3695,3.556,0
18,3.80666248977032,1.3694024934496725,2.772588722239781,2.3069946781528308,5.459,4.865,4.283,3.689,3
19,2.079441541679836,1.01160091167848,1.6094379124341005,0.9910622924062524,4.381,4.132,3.779,3.529,1
20,1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,4.78,3.375,4.78,2.985,0
21,1.6094379124341005,0.5877866649021191,1.791759469228055,0.672200836924577,4.737,4.173,4.038,3.474,0
22,2.9444389791664403,1.029619417181158,2.3978952727983707,1.5742964713825771,5.295,4.703,4.295,3.703,2
23,3.8501476017100575,1.743968805391704,2.3978952727983707,2.3171012445147445,6.147,5.0294,5.147,4.152,3
24,2.19722457733622,1.2993738890891888,1.3862943611198906,1.1024603777398163,5.204,3.977,4.727,3.5,1
25,2.8903717578961645,0.934130650002486,2.4849066497880004,1.546979291469578,4.944,4.598,3.902,3.556,2
26,1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,2.79,3.375,2.3695,2.949,0
27,2.19722457733622,1.0986122886681098,1.6094379124341005,1.0048881520194195,5.621,4.62,5.019,4.018,2
28,2.4849066497880004,1.3217558399823195,1.6094379124341005,1.2941927980552612,4.966,4.154,4.364,3.552,2
29,1.9459101490553128,0.4054651081081644,2.5649493574615367,0.8175845327889606,4.594,4.743,3.514,3.664,0
30,2.772588722239781,0.9809542451998772,2.302585092994046,1.38190050145919,6.3914,5.0294,5.535199999999999,4.186,3
31,1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,2.79,3.375,2.3695,2.6635,0
32,2.079441541679836,0.5306282510621704,2.3978952727983707,0.8973878450087948,5.269,4.817,4.269,3.817,1
33,1.3862943611198906,0.3903514702981162,2.4849066497880004,0.4809838908300767,3.493,4.857,2.451,3.816,0
34,1.3862943611198906,0.4054651081081644,1.9459101490553128,0.6050016308276642,3.668,3.609,2.89,2.831,0
35,1.6094379124341005,0.3903514702981162,2.6390573296152584,0.7289782000868722,5.82,3.728,4.706,2.6635,0
36,3.1354942159291497,1.1631508098056809,2.3978952727983707,1.7037261197427322,5.859,4.895,4.859,3.895,3
37,3.044522437723423,1.252762968495368,2.19722457733622,1.7031748814408647,5.982,4.453,5.079,3.55,2
38,2.079441541679836,0.4304828710834522,2.6390573296152584,0.9935036939084542,4.834,4.116,3.721,3.002,1
39,2.4849066497880004,0.6130211360806603,2.6390573296152584,1.3657206751591748,3.973,3.769,2.859,2.6635,0
40,1.791759469228055,1.252762968495368,1.3862943611198906,0.8781608440889526,4.04,3.555,3.739,3.254,0
41,1.3862943611198906,0.3903514702981162,2.079441541679836,0.5018346414111953,3.616,4.603,2.771,3.758,0
42,1.252762968495368,0.4054651081081644,1.6094379124341005,0.4718711559188147,2.79,4.146,2.3695,3.544,0
43,1.791759469228055,1.252762968495368,1.3862943611198906,0.9088557533866368,3.154,3.375,2.853,3.008,0
44,2.079441541679836,1.01160091167848,1.6094379124341005,1.0246678718144349,5.4,3.919,4.798,3.317,1
45,3.091042453358316,0.773343722554222,2.833213344056216,1.6933874074326136,3.543,4.732,2.3695,3.477,2
46,1.3862943611198906,0.3903514702981162,2.302585092994046,0.5330136858803347,4.448,4.261,3.493,3.306,0
47,2.19722457733622,0.76220671649144,2.079441541679836,1.2150226405125208,2.79,3.375,2.3695,2.6635,0
48,2.19722457733622,0.4054651081081644,2.833213344056216,1.0143133186067017,5.219,4.552,4.015,3.348,2
49,1.252762968495368,1.0986122886681098,1.3862943611198906,0.5543107357057295,2.79,3.375,2.61,2.925,0
50,3.4011973816621555,1.743968805391704,1.791759469228055,1.9559673630812784,5.513,4.777,4.814,4.078,3
51,3.8501476017100575,1.743968805391704,2.19722457733622,2.3171012445147445,6.373,5.0294,5.47,4.186,3
52,3.8501476017100575,1.743968805391704,1.6094379124341005,2.323290176601964,6.3914,4.995,5.535199999999999,4.186,3
53,1.6094379124341005,0.6931471805599453,1.6094379124341005,0.7317661028485112,4.595,3.708,3.993,3.106,1
54,1.252762968495368,0.3903514702981162,2.833213344056216,0.5543107357057295,5.16,3.375,3.905,2.6635,0
55,3.044522437723423,1.0360274134764884,2.4849066497880004,1.6786370530507029,5.589,4.589,4.548,3.547,2
56,2.5649493574615367,0.9162907318741552,2.19722457733622,1.2888735217049274,4.912,4.565,4.009,3.662,2
57,3.610917912644224,1.2728456686123115,2.70805020110221,2.2302921063082186,4.729,4.336,2.583,3.16,2
58,3.1354942159291497,0.6714126884139392,2.833213344056216,1.8441953479752693,4.736,4.133,3.374,2.771,1
59,1.6094379124341005,0.3903514702981162,2.302585092994046,0.7817005779013904,2.79,3.375,2.3695,2.6635,0
60,2.3978952727983707,0.7471617688661836,2.302585092994046,1.153329916465379,4.614,4.611,3.66,3.657,1
61,2.4849066497880004,0.7984076912174383,2.302585092994046,1.170907862755104,4.029,4.944,3.075,3.99,1
62,3.4011973816621555,1.3609765531356006,2.3978952727983707,2.076670622492299,3.882,4.156,2.882,3.156,1
63,2.3978952727983707,1.0986122886681098,1.791759469228055,1.376991968457577,4.008,3.375,3.309,2.6635,0
64,2.19722457733622,0.4793349566746198,2.6390573296152584,1.1887896279045458,4.132,3.504,3.018,2.6635,1
65,1.791759469228055,0.3903514702981162,2.4849066497880004,0.8282567495913834,2.79,3.878,2.3695,2.836,0
66,1.6094379124341005,0.511025603768657,1.9459101490553128,0.6300851491541722,4.53,4.557,3.752,3.779,1
67,3.1780538303479458,1.2686363176516582,2.302585092994046,1.743948714465916,4.408,4.873,3.454,3.918,2
68,2.5649493574615367,0.9984235614126774,2.079441541679836,1.4845477697547902,5.098,3.516,4.253,2.671,2
69,2.3978952727983707,0.8874796500200355,2.079441541679836,1.211822986835574,5.322,4.238,4.477,3.393,2
70,1.791759469228055,0.6931471805599453,1.791759469228055,0.9088557533866368,3.996,3.375,3.297,2.6635,0
71,2.70805020110221,0.9384435365152884,2.302585092994046,1.393516165614149,5.841,4.622,4.887,3.668,2
72,2.185033951482266,1.1416236374243143,1.5609067363145097,1.0682320111482964,4.198744562418698,4.151791461598924,3.6239306360435934,3.5761950238128195,1
73,2.1106225580685396,0.7341403290493173,2.1300914721059185,0.9516772421900124,5.251792377068812,4.594624565196954,4.390247558499756,3.733079746627898,1
74,1.7171943013774447,0.45113690529214684,2.1962490484195722,0.7513341500358797,4.6296585918104505,4.207457152002995,3.7330200828346793,3.3103412553243836,1
75,1.6723233062302407,0.7357555500301495,1.6094379124341005,0.7664593306781452,4.5663672971122145,3.764730215067388,3.9643672971122146,3.162596417390342,1
76,1.5390307189551253,0.4980821775297425,1.8972718770748214,0.5985440096019754,4.502549393443839,4.473070559265072,3.7494758062936864,3.719996972114919,1
77,2.3681306604259427,0.771877851024365,2.237799363921433,1.1381634025930167,4.592222410337549,4.566229762024404,3.6711224599563588,3.6450363455931605,1
78,2.197063100088496,0.47926798183157154,2.6390573296152584,1.1885218963508026,4.1329624223664325,3.504839034883557,3.018963793338465,2.663964074032817,1
79,1.6805422813134068,0.4957393883778636,2.049070188448338,0.686029399199299,4.793645272600694,4.514292268024171,3.966867758008916,3.6875147534323927,1
80,2.1353324637287034,1.1481562055592982,1.5035508569451044,1.061582312509833,5.3069932213877,3.94652241407915,4.764308768972075,3.4038379616635255,1
81,2.1651815533413528,1.221084886187726,1.447000846813814,1.072154387565312,4.980101807863818,4.019167946271091,4.46909539958068,3.507889486721688,1
82,2.5434659974430387,1.3917584418776576,1.6322256176530028,1.2989207847633621,3.673441776302402,4.41651547472023,3.0684155884500446,3.8114892868678725,1
83,2.5693689610189887,0.736197127074645,2.511698852963292,1.321407704574429,5.768285798786588,4.391427618374563,4.714847574904997,3.3379893944929737,2
84,2.453613489448906,1.1655708109192755,1.7784721173714164,1.2645689511656089,5.094033430410432,4.184210135265383,4.404639824821289,3.4948165296762395,2
85,2.4849066497880004,0.6222067335277237,2.622385686326805,1.2784311620685813,5.73400876618554,4.245549681780152,4.627936501778048,3.1394278690252055,2
86,2.934450813123987,1.1499382871230146,2.23169162057149,1.6018748803926566,5.935874057412968,4.508285704235521,5.016190205838934,3.5886018526614882,2
87,2.4730618212028888,0.604475363477632,2.6470513790540084,1.2666549312576951,5.703207468910027,4.263393171996202,4.585501869309835,3.1456875723960085,2
88,2.4711217970267136,1.2529552584551915,1.6838986444737172,1.2811432893711991,5.022399608336309,4.167307772753511,4.381902122870795,3.5268102872879967,2
89,2.2833709440434387,0.5721733422736244,2.5363982169049,1.137871646807864,5.60219205192341,4.285304346822775,4.537538946550824,3.2206512414501884,2
90,3.8501476017100575,1.743968805391704,2.251870499124672,2.3171012445147445,6.311456493132952,5.0294,5.382041802132493,4.1767412423297365,3
91,2.874708174827509,1.0322232773982023,2.329404812058389,1.472460320859315,6.24158579904926,4.991580637475996,5.344921332301108,4.104114326677939,3
92,3.8501476017100575,1.743968805391704,2.240769393938857,2.3171012445147445,6.323958815737736,5.0294,5.39991016585526,4.178622122721606,3
